Meepo,Lich,0.0381148910811
Meepo,Lich,0.0381148910811
Elder Titan,Drow Ranger,0.0443608171328
Elder Titan,Drow Ranger,0.0443608171328
Meepo,Jakiro,0.0455174711755
Meepo,Jakiro,0.0455174711755
Meepo,Lion,0.0485373407644
Meepo,Lion,0.0485373407644
Meepo,Viper,0.0498280946456
Meepo,Viper,0.0498280946456
Abaddon,Tinker,0.0519782064728
Abaddon,Tinker,0.0519782064728
Meepo,Crystal Maiden,0.0546281204242
Meepo,Crystal Maiden,0.0546281204242
Meepo,Death Prophet,0.0561549533852
Meepo,Death Prophet,0.0561549533852
Elder Titan,Viper,0.0573715537853
Elder Titan,Viper,0.0573715537853
Meepo,Tidehunter,0.0577006983879
Meepo,Tidehunter,0.0577006983879
Meepo,Warlock,0.0585454607273
Meepo,Warlock,0.0585454607273
Abaddon,Queen of Pain,0.0602963314884
Abaddon,Queen of Pain,0.0602963314884
Abaddon,Viper,0.0609192709834
Abaddon,Viper,0.0609192709834
Centaur Warrunner,Meepo,0.0615366404357
Centaur Warrunner,Meepo,0.0615366404357
Abaddon,Meepo,0.0616717002039
Abaddon,Meepo,0.0616717002039
Meepo,Spirit Breaker,0.0617223766793
Meepo,Spirit Breaker,0.0617223766793
Elder Titan,Riki,0.0621286095608
Elder Titan,Riki,0.0621286095608
Abaddon,Chen,0.0623804499013
Abaddon,Chen,0.0623804499013
Meepo,Vengeful Spirit,0.0630230880525
Meepo,Vengeful Spirit,0.0630230880525
Abaddon,Shadow Fiend,0.06322881865
Abaddon,Shadow Fiend,0.06322881865
Abaddon,Shadow Shaman,0.0638698153478
Abaddon,Shadow Shaman,0.0638698153478
Abaddon,Io,0.0644567240228
Abaddon,Io,0.0644567240228
Elder Titan,Queen of Pain,0.0646700354146
Elder Titan,Queen of Pain,0.0646700354146
Abaddon,Puck,0.0648665039739
Abaddon,Puck,0.0648665039739
Abaddon,Jakiro,0.065538220824
Abaddon,Jakiro,0.065538220824
Meepo,Venomancer,0.0657082475034
Meepo,Venomancer,0.0657082475034
Abaddon,Enigma,0.0659671397459
Abaddon,Enigma,0.0659671397459
Abaddon,Storm Spirit,0.0665766379833
Abaddon,Storm Spirit,0.0665766379833
Abaddon,Lion,0.0667890296911
Abaddon,Lion,0.0667890296911
Elder Titan,Templar Assassin,0.0669101429908
Elder Titan,Templar Assassin,0.0669101429908
Keeper of the Light,Meepo,0.067028084644
Keeper of the Light,Meepo,0.067028084644
Abaddon,Windrunner,0.0674450838049
Abaddon,Windrunner,0.0674450838049
Abaddon,Lich,0.0675248709134
Abaddon,Lich,0.0675248709134
Abaddon,Leshrac,0.0677048446472
Abaddon,Leshrac,0.0677048446472
Disruptor,Meepo,0.0677577147484
Disruptor,Meepo,0.0677577147484
Elder Titan,Lifestealer,0.0699308667184
Elder Titan,Lifestealer,0.0699308667184
Meepo,Dazzle,0.0708304941745
Meepo,Dazzle,0.0708304941745
Meepo,Drow Ranger,0.071095771977
Meepo,Drow Ranger,0.071095771977
Ogre Magi,Meepo,0.0715180668331
Ogre Magi,Meepo,0.0715180668331
Troll Warlord,Chen,0.0716931807921
Troll Warlord,Chen,0.0716931807921
Troll Warlord,Io,0.0717360292303
Troll Warlord,Io,0.0717360292303
Abaddon,Invoker,0.0718723321611
Abaddon,Invoker,0.0718723321611
Abaddon,Sand King,0.0722170277071
Abaddon,Sand King,0.0722170277071
Abaddon,Death Prophet,0.0722829573947
Abaddon,Death Prophet,0.0722829573947
Bristleback,Invoker,0.0728133078084
Bristleback,Invoker,0.0728133078084
Elder Titan,Sniper,0.0729337460302
Elder Titan,Sniper,0.0729337460302
Abaddon,Crystal Maiden,0.0729648237892
Abaddon,Crystal Maiden,0.0729648237892
Elder Titan,Shadow Fiend,0.0732095549334
Elder Titan,Shadow Fiend,0.0732095549334
Meepo,Lina,0.0734256634831
Meepo,Lina,0.0734256634831
Abaddon,Templar Assassin,0.0737673681586
Abaddon,Templar Assassin,0.0737673681586
Abaddon,Pudge,0.0746163300081
Abaddon,Pudge,0.0746163300081
Elder Titan,Lich,0.0746188484995
Elder Titan,Lich,0.0746188484995
Abaddon,Lone Druid,0.0748499440198
Abaddon,Lone Druid,0.0748499440198
Elder Titan,Luna,0.0750715295838
Elder Titan,Luna,0.0750715295838
Slark,Chen,0.0750814397299
Slark,Chen,0.0750814397299
Meepo,Sand King,0.0752847772692
Meepo,Sand King,0.0752847772692
Meepo,Shadow Shaman,0.0762285750019
Meepo,Shadow Shaman,0.0762285750019
Meepo,Luna,0.076851754093
Meepo,Luna,0.076851754093
Meepo,Bane,0.0769843646892
Meepo,Bane,0.0769843646892
Abaddon,Tidehunter,0.0771184178313
Abaddon,Tidehunter,0.0771184178313
Meepo,Witch Doctor,0.0776541633846
Meepo,Witch Doctor,0.0776541633846
Elder Titan,Anti-Mage,0.0776617939419
Elder Titan,Anti-Mage,0.0776617939419
Abaddon,Dark Seer,0.0779283563533
Abaddon,Dark Seer,0.0779283563533
Abaddon,Keeper of the Light,0.0779449339684
Abaddon,Keeper of the Light,0.0779449339684
Abaddon,Drow Ranger,0.0779654782324
Abaddon,Drow Ranger,0.0779654782324
Meepo,Zeus,0.0780087183339
Meepo,Zeus,0.0780087183339
Abaddon,Batrider,0.0787228556588
Abaddon,Batrider,0.0787228556588
Slark,Lich,0.0788330123492
Slark,Lich,0.0788330123492
Abaddon,Vengeful Spirit,0.0790807084369
